,var,x-value,ale,sp
58,Prec,982,0.042721906,edwardsii
59,Prec,1004,0.08533461,edwardsii
60,Prec,1095,0.084893157,edwardsii
61,Prec,1125,0.078028887,edwardsii
62,Prec,1128,0.068191007,edwardsii
63,Prec,1133,0.030041251,edwardsii
64,Prec,1142,-0.02641018,edwardsii
65,Prec,1146,-0.146257486,edwardsii
66,Prec,1164,-0.135602786,edwardsii
67,Prec,1165,-0.135680821,edwardsii
68,Prec,1181,-0.09862883,edwardsii
69,Prec,1187,-0.109973119,edwardsii
70,Prec,1208,-0.12800048,edwardsii
71,Prec,1327,-0.12800048,edwardsii
72,elevation,3,0.107856929,edwardsii
73,elevation,11,0.107856929,edwardsii
74,elevation,18,-0.043649156,edwardsii
75,elevation,20,-0.034463725,edwardsii
76,elevation,22,-0.025984681,edwardsii
77,elevation,28,0.002036676,edwardsii
78,elevation,29,0.014619679,edwardsii
79,elevation,51,0.03097458,edwardsii
80,elevation,83,0.047023608,edwardsii
81,elevation,87,0.048866367,edwardsii
82,elevation,100,-0.05547055,edwardsii
83,elevation,112,-0.096356224,edwardsii
84,elevation,137,-0.091425226,edwardsii
85,elevation,184,-0.10406244,edwardsii
86,elevation,240,-0.091339455,edwardsii
87,elevation,312,-0.078612568,edwardsii
88,elevation,3341,-0.078612568,edwardsii
