gbifID,spCode,FW_avg,HW_avg,references,eventDate,lat,lon,Temp,Prec,elevation,latlon,stateProvince
1586032423,G_lygdamus,16.74107143,13.75,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147452,1978-04-09T00:00:00,38.937556,-121.02421,15.3,918,237,38.937556 -121.02421,California
1586032424,G_lygdamus,14.10714286,10.80357143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147546,1976-03-20T00:00:00,38.913872,-120.73863,13.5,1338,875,38.913872 -120.73863,California
1586032425,G_lygdamus,14.39461883,11.89461883,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147431,1977-05-06T00:00:00,42.529199,-85.855303,8.5,949,201,42.529199 -85.855303,Michigan
1586032427,G_lygdamus,16.24439462,13.44170404,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147522,1978-04-09T00:00:00,38.937556,-121.02421,15.3,918,237,38.937556 -121.02421,California
1586032428,G_lygdamus,14.04231626,11.6481069,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147540,1978-04-10T00:00:00,34.45982,-117.82554,14.4,377,1215,34.45982 -117.82554,California
1586032429,G_lygdamus,14.35123043,10.81655481,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147530,1976-05-07T00:00:00,45.292899,-122.66898,11.4,1154,30,45.292899 -122.66898,Oregon
1586032430,G_lygdamus,16.35135135,12.72522523,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147545,1981-05-01T00:00:00,38.896565,-121.07689,15.5,864,378,38.896565 -121.07689,California
1586032431,G_lygdamus,13.88764045,11.60674157,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147519,1972-06-27T00:00:00,42.730952,-110.92904,3.7,449,1909,42.730952 -110.92904,Wyoming
1586032432,G_lygdamus,16.25560538,13.21748879,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147549,1978-03-12T00:00:00,36.105501,-118.52814,7.3,666,2205,36.105501 -118.52814,California
1586032433,G_lygdamus,16.25560538,12.26457399,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147533,1976-05-08T00:00:00,45.35493,-122.62152,11.7,1202,72,45.35493 -122.62152,Oregon
1586032434,G_lygdamus,15.40268456,13.23266219,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147550,1978-03-12T00:00:00,36.105501,-118.52814,7.3,666,2205,36.105501 -118.52814,California
